"Year","GDP_growth","GFCF_growth","Export_growth","Import_growth","Pop_growth","Agric_growth","Inflation","Unemployment","FDI_pct_GDP"
1967,10.0288413593661,23.5608462413113,9.92421059923167,16.174663656931,2.69275670272462,18.6220583070716,-0.748276993897715,13.502,0.505518205883822
1968,9.89173930674043,-5.23195222472435,3.77792144952687,2.29192484225611,2.68219926809977,29.5936097002182,0.436479069044525,13.502,0.505518205883822
1969,8.36216535672018,28.7814707280916,9.99098872225943,5.80102748908358,2.65715346834029,-4.26159041922187,2.94989135439242,13.502,0.505518205883822
1970,4.71346037515517,23.6972022551548,3.0244968475569,19.6522745510692,2.64680544039222,4.17132890156103,1.27918132376476,13.502,0.505518205883822
1971,5.5968936595313,4.13401763809433,1.00871528399271,-6.05735919388769,2.59518253569122,9.99731567786186,4.1553520683533,13.502,0.530221594018454
1972,2.43723734665467,-11.3482009049131,14.2666520182143,-1.52569101689086,2.52759258309704,-2.22330996181067,3.75917055722263,13.502,0.256202184621975
1973,3.55931083241548,-5.05637664522605,15.2842119590484,16.245382349601,2.49045450670657,-9.32033824572386,4.08461403612973,13.502,0.0879505238336714
1974,5.59604994440339,18.0370527638966,-6.23895355082385,18.2306793253704,2.46577302950072,2.09424092790884,17.5568227452454,13.502,-0.265781891362622
1975,7.55822156113805,77.8732717119746,-16.7330822556372,30.6811440298823,2.46108674916092,-6.34278710404037,7.91828926702741,13.502,0.0558718088894875
1976,10.8127813442855,18.9523583312124,10.3386591943878,26.2795769457375,2.43868897625255,15.3025963807122,8.50215244349303,13.502,0.396637975801619
1977,6.0591676788529,25.1032120570519,7.19797162476539,23.0299858878043,2.47603066116063,-12.3219217573551,12.5970009920069,13.502,0.0723458156796221
1978,2.23266338861872,-31.586488736376,3.7196112077259,-19.0113951937001,2.53563520321846,17.9589595417875,9.7160327495434,13.502,0.0888421546429238
1979,4.79378720493398,-0.970422142675702,2.08678326841634,3.59885860012174,2.55512702090297,-1.71580360093195,8.33136541815462,13.502,0.0467417738791582
1980,3.64216481334074,3.99953109899016,1.71100247558216,-12.357735262497,2.62593255873845,6.14703306418561,9.40837947437956,13.502,0.411515549241936
1981,-1.7434349305055,5.55138174936212,6.5681346187926,7.21810808107391,2.66439093425071,-26.794279779518,12.4925283921001,13.502,0.329327215867978
1982,8.95737202254297,4.09547692359953,7.39992705910595,1.46724976481534,2.64134602477407,39.4718034508757,10.5278072972983,13.502,0.449507874529748
1983,1.38656957735846,-4.35070314030393,8.79753309650486,-5.03066451557885,2.59930373342767,-13.4066862722231,6.20793538870313,13.502,0.283813089564468
1984,6.41838632129115,-7.79042069181877,5.61641660757162,7.70838982181637,2.49966630458029,9.83700516528823,12.4475693291853,13.502,0.316966266628329
1985,6.00765207144033,12.8089732067936,1.67119755726681,3.19683774032124,2.38035491289014,13.4280339893069,7.7286389008592,13.502,0.133245210382206
1986,9.27110576948627,-0.189658934072199,-0.518467850714828,-2.07897066372158,2.17766698529866,34.1991716854822,8.73355918706675,13.502,0.00282180702047283
1987,-0.325004075650469,1.79096554484657,8.54483398781855,8.7134026111501,1.9870856970647,-23.5330539738511,2.69873997713767,13.502,0.273716353967507
1988,11.8752359788597,11.3086348970425,21.1025404193113,4.3713615345423,1.91664251827313,33.4265280654956,2.36905505487641,13.502,0.329354802876929
1989,2.84620258132841,14.9490276660882,-5.83130445388474,8.00916921902468,1.85035031950596,6.36642246094932,3.2599694922639,13.502,0.634848536184199
1990,3.41181222630115,3.67038033511264,17.1941538299526,9.17637021716178,1.80543997877046,-6.66428483618262,6.78259401511006,13.502,0.547127982880131
1991,7.21608815359085,4.88761626062433,2.15663245599941,4.87965119009746,1.72232725594236,21.7500000466256,7.98616600790512,13.502,0.983294101452127
1992,-2.097738754022,0.677748028951513,4.82777204003584,10.1941194412183,1.65347397517767,-34.2366412783795,5.7402466286874,13.781,1.25320990888603
1993,-0.740591700332374,-0.559564344951042,0.0438622072762769,-5.29894157395468,1.58233207878875,-6.32255655495894,5.18311396030801,14.026,1.55254686699352
1994,10.5880004161286,-1.14142510381764,8.92936300145253,-0.472012927159582,1.49661980506301,59.75599041795,5.14167152953361,13.858,1.5473605424266
1995,-5.40544787197402,10.1067096025107,-11.1979437563859,9.15121781961223,1.52142282241445,-41.008087114332,6.12358164775523,14.054,0.85771412858708
1996,12.3728762700496,1.65204582855606,6.51241638493498,-5.7683653996765,1.53619606424248,73.5825345157045,2.98680922773017,13.362,0.828037045779585
1997,-1.56070234550782,6.46718846889401,6.57641166588097,9.59837796301024,1.5002842238488,-22.8880487951195,1.03819895051614,14.025,2.75709006484814
1998,7.23855267691987,12.7531894714823,5.46202576513441,8.0798142975071,1.48926290977857,26.8187734111107,2.75311330764477,13.359,0.663931270652034
1999,1.6970614772566,10.9709896249087,9.92824858958573,7.14283566201577,1.45749048336448,-14.6799773664215,0.684782608695643,13.94,1.7874170345466
2000,2.58218091499747,2.62084243889259,8.57484747600641,7.58308855468992,1.40392630100829,-12.1614226957886,1.89463456763464,13.58,0.991581858750169
2001,7.72182519577728,0.426877816081259,13.2698202135895,1.3641027854657,1.36697144784375,19.0616568413659,0.619801875297975,12.46,6.44412928365454
2002,3.73019737485745,7.28184080815382,5.53763349933996,6.54588639288301,1.32213816814169,4.2790815618177,2.79561966936936,11.59,1.02035757811393
2003,6.17110214953244,6.34535315508732,0.70240298591024,7.10007776410831,1.27031081599857,20.3064607240864,1.16773367477592,11.92,3.98561984754306
2004,4.57138016516208,9.15289488077565,6.34605309059741,9.77644111633668,1.28219021585352,4.4662059141135,1.49344403381774,10.83,1.35118647717804
2005,3.19224973015831,7.24181191366773,13.3509464474848,9.6361305137976,1.34347301576107,-11.1019681576235,0.982641660015951,11.01,2.42635467647837
2006,7.7908200104027,9.9931133374364,11.8563325206566,8.24006262889677,1.35136550551358,21.0666283125748,3.28476166954811,9.67,3.24283497739456
2007,3.44106776690418,14.3199242104151,5.20521049177984,15.0170539103923,1.34058101398506,-20.0212614640565,2.04208512673344,9.56,3.24999332315429
2008,5.68453936284732,15.2096860745566,-2.48099274697842,13.8479987089416,1.33869604527126,18.6218759748954,3.71484311494064,9.57,2.42213508852785
2009,3.74576940136258,-2.64227558213318,-9.18137192444976,-8.36413108353179,1.33260098178586,23.9462614538832,0.971862998667636,8.96,1.94782744330848
2010,3.49955709403216,-1.44777094835312,17.8512302274972,7.82803431803896,1.35274286216317,1.106437701978,0.993557401226392,9.09,1.2299824583835
2011,5.52464523319847,7.79467519792763,5.61073593075898,9.07517862117196,1.36305168989377,6.66027196718915,0.9069249096918,8.91,2.29046840496639
2012,3.06234368502997,3.61770914459254,2.65315376157231,3.349624738415,1.3359712863904,-7.83685570615384,1.28712240079219,8.99,2.65758712641507
2013,4.12221286860944,-0.51593761798901,-0.0195839762325676,-0.0714290932147321,1.28781015302784,17.8237808967245,1.88065466724086,9.23,2.9038626404404
2014,2.7192440802029,-1.25679942185694,9.00930287373185,3.82857346179473,1.22723874148544,-2.30729916419891,0.442310053557048,9.7,2.95925435484489
2015,4.34458297635238,2.49933469351549,4.32534556347923,1.33090025895895,1.17075639938741,14.0207557724581,1.5579071134626,9.46,2.94611108390154
2016,0.52118550608968,12.5945207598607,6.80848709053355,14.8392910011174,1.19450726277516,-18.6079250374305,1.63531114327064,9.3,1.93000540251056
2017,5.05789816173446,2.12157899852959,10.84078760489,4.64920794725097,1.20034336418867,19.5063217717599,0.754663249323619,9.22,2.26092196120538
2018,3.06564133025955,2.4436421682191,3.81565916566902,4.79939689865429,1.1036421008163,4.4720000390225,1.80391671141896,9.272,2.78337936840164
2019,2.89097476137077,1.6818028933188,5.12700587609709,2.13005512901385,1.03022315933698,-3.9236867820704,0.303386036590383,9.191,1.33479789567415
2020,-7.17820744246774,-9.99866527345056,-14.9872965124978,-11.8873125836084,1.02565486360782,-7.13020951795504,0.705968661338261,11.189,1.16907334587558
2021,8.15473889823681,7.54189483409075,7.92131589642544,10.4037713520471,1.00691847923959,19.0380481197241,1.40195883962006,10.551,1.59422321445366
2022,1.81269242194809,-3.95222643066539,20.7433602195014,8.82895774990008,1.00863622672701,-11.8262200159631,6.65704202759067,9.413,1.74814323662076
2023,3.65564411017931,2.29926832497979,7.90463572631705,9.48133053308658,1.02195181223548,1.80195351970364,6.09114152504141,8.896,0.725864122672683
2024,3.79336515978963,12.8338700766714,8.03697031022483,11.6283744428687,0.972827595296714,-4.50900039462067,0.985256592004507,9.103,1.02047789871899
