"Period","Manual_SARIMA","Auto_SARIMA_AIC","Difference"
1,606411,752407,-145996
2,573886,699105,-125219
3,693820,848555,-154735
4,791903,964006,-172103
5,750966,881867,-130901
6,632486,779300,-146814
7,719027,891496,-172469
8,840555,982799,-142244
9,676216,800150,-123934
10,656467,805356,-148889
11,619133,753683,-134550
12,531715,640747,-109032
13,518971,771929,-252958
14,482392,717047,-234655
15,631822,871245,-239423
16,730050,1003388,-273338
17,685455,914615,-229160
18,583622,807166,-223544
