"Period","Month","Year","Date","Forecast","Lo80","Hi80","Lo95","Hi95"
1,"Jan",2024,"2024-01-01",677602,598182,757023,575667,779538
2,"Feb",2024,"2024-02-01",614810,515268,714352,487049,742571
3,"Mar",2024,"2024-03-01",814750,654380,975119,608917,1020582
4,"Apr",2024,"2024-04-01",927978,717742,1138213,658143,1197812
5,"May",2024,"2024-05-01",863523,645131,1081915,583220,1143827
6,"Jun",2024,"2024-06-01",740896,535769,946023,477618,1004174
7,"Jul",2024,"2024-07-01",869455,609491,1129419,535795,1203116
8,"Aug",2024,"2024-08-01",1043326,709789,1376862,615236,1471416
9,"Sep",2024,"2024-09-01",828709,547613,1109805,467926,1189492
10,"Oct",2024,"2024-10-01",827843,531703,1123983,447752,1207934
11,"Nov",2024,"2024-11-01",776869,485223,1068515,402545,1151193
12,"Dec",2024,"2024-12-01",637431,387318,887543,316415,958447
13,"Jan",2025,"2025-01-01",691960,409150,974771,328977,1054944
14,"Feb",2025,"2025-02-01",627814,361321,894308,285774,969855
15,"Mar",2025,"2025-03-01",831953,466103,1197802,362390,1301516
16,"Apr",2025,"2025-04-01",947537,516816,1378258,394713,1500362
17,"May",2025,"2025-05-01",881692,468192,1295192,350971,1412414
18,"Jun",2025,"2025-06-01",756458,391066,1121850,287482,1225433
19,"Jul",2025,"2025-07-01",887685,446737,1328634,321734,1453636
20,"Aug",2025,"2025-08-01",1065163,521782,1608544,367741,1762585
21,"Sep",2025,"2025-09-01",846024,403340,1288708,277845,1414203
22,"Oct",2025,"2025-10-01",845110,392045,1298175,263607,1426613
23,"Nov",2025,"2025-11-01",793045,357896,1228193,234537,1351552
24,"Dec",2025,"2025-12-01",650680,285595,1015765,182098,1119262
